food_id,food_name,cost,amount
1,Sushi,14.0,500
2,Mushroom Chicken,14.06,38
3,White Rice,0.88,5
4,Kung Pao Chicken,19.98,41
5,Original Orange Chicken,15.43,49
6,Black Pepper Chicken,12.64,57
7,Broccoli Beef,23.11,36
8,Fried Rice,10.22,97
9,Black Pepper Sirloin Steak,21.44,9
10,Honey Walnut Shrimp,25.44,54
11,SweetFire Chicken Breast,11.41,35
12,Beijing Beef,20.14,13
13,Bourbon Chicken,5.5,36
14,String Bean Chicken Breast,13.13,54
15,Honey Sesame Chicken Breast,10.29,21
16,Super Greens,11.17,43
17,Teriyaki Chicken,4.29,41
18,Chow Mein,6.2,95
